what,kind,bundleId,bundleVersion,description,time
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1421717442304
error,log,,,"CPU architecture type not set. ",1421717442304
error,log,,,"CPU master group not set.",1421717442304
error,log,,,"SOPC design not set.",1421717442304
error,log,,,"CPU module not set.",1421717442304
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1421717442304
error,log,,,"CPU architecture type not set. ",1421717442304
error,log,,,"CPU master group not set.",1421717442304
error,log,,,"SOPC design not set.",1421717442351
error,log,,,"CPU module not set.",1421717442351
error,log,,,"The SOPC design does not contain a CPU of a supported architecture.",1421717442351
error,log,,,"CPU architecture type not set. ",1421717442351
error,log,,,"CPU master group not set.",1421717442351
opened,view,com.altera.sbtgui.launch,10.1.1.153,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1421717443817
error,log,,,"sun.awt.X11.XlibWrapper",1421717443895
started,bundle,org.eclipse.cdt.debug.mi.ui,6.0.0.200909110608,"org.eclipse.cdt.debug.mi.ui",1421717443973
started,bundle,org.eclipse.cdt.debug.mi.core,6.0.0.200909110608,"org.eclipse.cdt.debug.mi.core",1421717443989
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1421717483930
activated,editor,org.eclipse.cdt.ui,5.1.1.200909110608,"org.eclipse.cdt.ui.editor.CEditor",1421717486894
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1421717524973
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1421717531979
started,bundle,org.eclipse.cdt.debug.ui,6.0.0.200909110608,"org.eclipse.cdt.debug.ui",1421717532587
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1421717533289
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1421717535364
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1421717538234
